gene	disease
A2ML1	Nonsyndromic otitis media;Otitis media, susceptibility to
A4GALT	Infantile cortical hyperostosis
AAAS	Glucocorticoid deficiency with achalasia
AAGAB	Palmoplantar keratoderma;Keratosis palmoplantaris papulosa
AAR2	Anteriorly placed anus;Ventricular septal defect;Cerebellar malformation;Patent foramen ovale;Macule;Global developmental delay;Hypoplasia of the corpus callosum;Microcephaly
AARS	Charcot-Marie-Tooth disease, type 2N;Epileptic encephalopathy, early infantile, 29;Charcot-Marie-Tooth disease, type 2;Charcot-Marie-Tooth disease
AARS2	Leukoencephalopathy, progressive, with ovarian failure;Inborn genetic diseases;Pulmonary hypoplasia;Combined oxidative phosphorylation deficiency 8
AASS	Hyperlysinemia
ABAT	Gamma-aminobutyric acid transaminase deficiency
ABCA1	Tangier disease;Familial hypoalphalipoproteinemia;ABCA1-Related Disorders;Tangier disease, variant;Inborn genetic diseases
ABCA12	Autosomal recessive congenital ichthyosis 4B;Autosomal recessive congenital ichthyosis 4A
ABCA13	Schizophrenia
ABCA3	Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies;Respiratory distress;Neonatal respiratory distress;Idiopathic fibrosing alveolitis, chronic form;Surfactant metabolism dysfunction, pulmonary, 3;Pulmonary arterial hypertension
ABCA4	Macular dystrophy;Retinitis pigmentosa;Cone-rod dystrophy 3;Retinopathy;Congenital stationary night blindness;Retinal dystrophy, early-onset severe;Macular degeneration;Visual impairment;Stargardt disease;Retinal atrophy;Stargardt disease 1;ABCA4-Related Disorders;Central scotoma;Retinal dystrophy
ABCA5	Inborn genetic diseases;Gingival fibromatosis with hypertrichosis
ABCB1	Colchicine resistance
ABCB11	Abnormal liver function tests during pregnancy;Pruritus;Intrahepatic cholestasis;Inborn genetic diseases;Progressive familial intrahepatic cholestasis 2
ABCB4	Cholecystitis;Progressive familial intrahepatic cholestasis 3;Cholestasis, intrahepatic, of pregnancy 3
ABCB6	Dyschromatosis universalis hereditaria 3;Pseudohyperkalemia, familial, 2, due to red cell leak;Microphthalmia, isolated, with coloboma 7
ABCB7	Anemia sideroblastic and spinocerebellar ataxia
ABCC1	Pseudoxanthoma elasticum
ABCC2	Dubin-Johnson syndrome
ABCC6	Generalized arterial calcification of infancy 2;Abnormality of the eye;Pseudoxanthoma elasticum
ABCC8	Pointed chin;Growth delay;Large for gestational age;Retrognathia;Atrial septal defect;Transient neonatal diabetes mellitus 2;Bilateral cryptorchidism;Leucine-induced hypoglycemia;Persistent hyperinsulinemic hypoglycemia of infancy;Macrocephalus;Large fleshy ears;Gastroesophageal reflux;Generalized hypotonia;Triangular face;Small for gestational age;Neonatal respiratory distress;Diabetes mellitus, permanent neonatal, with neurologic features;Cardiac shunt;Macrotia;Long philtrum;Feeding difficulties;Polyhydramnios;Broad forehead;Hypoglycemia;Neonatal hypotonia;Diabetes mellitus type 2;Permanent neonatal diabetes mellitus;Congestive heart failure;Neonatal diabetes mellitus;Short stature;Familial hyperinsulinism
ABCC9	Dilated cardiomyopathy 1O;Hypertrichotic osteochondrodysplasia;Wolff-Parkinson-White pattern;Inborn genetic diseases;Cardiomyopathy
ABCD1	Adrenoleukodystrophy;Myocarditis;Episodic vomiting;Episodic fever;Encephalitis;History of neurodevelopmental disorder
ABCD3	Bile acid synthesis defect, congenital, 5
ABCD4	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE
ABCG5	Sitosterolemia
ABCG8	Sitosterolemia
ABHD12	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract;Cone/cone-rod dystrophy;Retinal dystrophy
ABHD5	Triglyceride storage disease with ichthyosis
ABL1	Congenital heart disease;Failure to thrive;Abnormality of skeletal morphology;Leukemia, Philadelphia chromosome-positive, resistant to imatinib;CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME;Chronic myeloid leukemia, resistant to imatinib;Chronic myelogenous leukemia;Lymphoblastic leukemia, acute, with lymphomatous features
ABRAXAS1	Hereditary breast and ovarian cancer syndrome;Ovarian Neoplasms
ACAD8	Deficiency of isobutyryl-CoA dehydrogenase
ACAD9	Acyl-CoA dehydrogenase family, member 9, deficiency of
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency
ACADS	Deficiency of butyryl-CoA dehydrogenase
ACADSB	Deficiency of 2-methylbutyryl-CoA dehydrogenase
ACADVL	Rhabdomyolysis;Muscular Diseases;Very long chain acyl-CoA dehydrogenase deficiency
ACAN	Osteochondritis dissecans;Inborn genetic diseases;Spondyloepiphyseal dysplasia, kimberley type;Spondyloepimetaphyseal dysplasia, Aggrecan type
ACAT1	Deficiency of acetyl-CoA acetyltransferase;Inborn genetic diseases
ACD	Dyskeratosis congenita, autosomal recessive 7;Dyskeratosis congenita, autosomal dominant 6
ACE	Renal dysplasia
ACER3	LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET
ACKR1	DUFFY BLOOD GROUP SYSTEM, FY(a-b-) PHENOTYPE;White blood cell count quantitative trait locus 1;DUFFY BLOOD GROUP SYSTEM, FY(bwk) PHENOTYPE;Plasmodium vivax, resistance to
ACO2	Infantile cerebellar-retinal degeneration;Optic atrophy 9;Inborn genetic diseases
ACOT1	Generalized hypotonia
ACOX1	Pseudoneonatal adrenoleukodystrophy
ACOX2	Bile acid synthesis defect, congenital, 6
ACP4	Amelogenesis imperfecta, type IJ
ACP5	Spondyloenchondrodysplasia with immune dysregulation;Inborn genetic diseases
ACP6	Cerebral visual impairment and intellectual disability
ACSF3	Combined malonic and methylmalonic aciduria
ACSL4	Mental retardation 63, X-linked;Schizophrenia;Autistic disorder of childhood onset
ACSS2	Nonsyndromic cleft lip palate
