Ensg	Hgnc	Rank	Zscore	HP:0002069	HP:0002121	HP:0011198
ENSG00000198899	MT-ATP6	1	11.994	22.989	-0.856	-1.359
ENSG00000120251	GRIA2	2	11.584	5.047	8.538	6.479
ENSG00000077080	ACTL6B	3	11.436	5.798	6.581	7.428
ENSG00000198763	MT-ND2	4	11.344	21.742	-1.297	-0.796
ENSG00000198804	MT-CO1	5	11.293	20.602	-0.547	-0.495
ENSG00000198886	MT-ND4	6	11.21	20.787	-0.673	-0.699
ENSG00000177511	ST8SIA3	7	11.163	6.62	5.71	7.005
ENSG00000132872	SYT4	8	11.139	5.22	6.816	7.256
ENSG00000130287	NCAN	9	11.131	5.617	7.445	6.218
ENSG00000198727	MT-CYB	10	11.077	20.39	-0.774	-0.43
ENSG00000178171	AMER3	11	10.984	6.048	6.284	6.694
ENSG00000136750	GAD2	12	10.935	6.973	7.033	4.934
ENSG00000152954	NRSN1	13	10.927	6.233	7.636	5.057
ENSG00000198786	MT-ND5	14	10.838	20.126	-1.05	-0.303
ENSG00000162728	KCNJ9	15	10.797	6.017	8.09	4.595
ENSG00000198888	MT-ND1	16	10.646	19.645	-0.894	-0.311
ENSG00000022355	GABRA1	17	10.6	6.067	7.38	4.913
ENSG00000212907	MT-ND4L	18	10.56	19.722	-0.971	-0.46
ENSG00000166111	SVOP	19	10.395	6.051	5.166	6.788
ENSG00000198840	MT-ND3	20	10.374	19.278	-0.56	-0.748
ENSG00000129159	KCNC1	21	10.179	5.717	6.321	5.592
ENSG00000170091	NSG2	22	10.174	5.651	6.251	5.72
ENSG00000074317	SNCB	23	10.172	6.463	5.249	5.908
ENSG00000261678	SCRT1	24	10.13	5.45	6.873	5.222
ENSG00000198695	MT-ND6	25	10.025	18.975	-0.739	-0.872
ENSG00000120645	IQSEC3	26	9.892	4.829	7.08	5.225
ENSG00000175161	CADM2	27	9.829	4.826	6.649	5.549
ENSG00000198938	MT-CO3	28	9.677	19.506	-1.37	-1.374
ENSG00000198712	MT-CO2	29	9.668	19.64	-1.25	-1.645
ENSG00000261675		30	9.668	3.55	8.523	4.673
ENSG00000131095	GFAP	31	9.641	5.139	6.399	5.161
ENSG00000152214	RIT2	32	9.4	5.331	7.51	3.44
ENSG00000178233	TMEM151B	33	9.343	5.931	5.27	4.981
ENSG00000101489	CELF4	34	9.313	4.959	5.302	5.87
ENSG00000006071	ABCC8	35	9.194	5.622	4.627	5.677
ENSG00000261496		36	9.176	4.642	7.944	3.307
ENSG00000165023	DIRAS2	37	9.163	5.693	6.762	3.416
ENSG00000248527	MTATP6P1	38	9.145	18.541	-1.502	-1.199
ENSG00000121905	HPCA	39	9.125	4.548	6.066	5.191
ENSG00000228253	MT-ATP8	40	9.099	18.004	-1.09	-1.154
ENSG00000159409	CELF3	41	9.073	5.272	4.751	5.691
ENSG00000173452	TMEM196	42	8.936	5.606	4.318	5.554
ENSG00000067842	ATP2B3	43	8.847	5.052	6.611	3.662
ENSG00000157219	HTR5A	44	8.819	4.966	7.502	2.807
ENSG00000179915	NRXN1	45	8.763	4.626	5.109	5.444
ENSG00000102003	SYP	46	8.672	4.2	4.392	6.429
ENSG00000204278	TMEM235	47	8.637	5.353	6.041	3.565
ENSG00000233932	CTXN2	48	8.617	5.678	5.686	3.56
ENSG00000145863	GABRA6	49	8.609	5.442	6.643	2.827
ENSG00000015592	STMN4	50	8.598	5.346	6.083	3.465
ENSG00000155886	SLC24A2	51	8.585	4.255	5.943	4.672
ENSG00000132639	SNAP25	52	8.562	4.179	5.693	4.958
ENSG00000155511	GRIA1	53	8.545	5.734	6.138	2.928
ENSG00000144550	CPNE9	54	8.523	4.823	5.851	4.09
ENSG00000101349	PAK5	55	8.479	4.915	6.659	3.112
ENSG00000277531	PNMA8C	56	8.45	3.828	6.181	4.626
ENSG00000204071	TCEAL6	57	8.356	5.133	6.152	3.187
ENSG00000139767	SRRM4	58	8.331	5.78	4.948	3.701
ENSG00000197177	ADGRA1	59	8.28	4.553	5.026	4.762
